District_Area(km2),Cholera Cases,District,Distance From Main Road,Estimated Number of Poor Persons,Female Population,ID,Male population,Pop Density per district,Pop Total,Region,Time To Access Urban Centre,Water Scarcity,Distance to water body,Gdppersqkm,Flood Frequency Rates,Men Literacy Levels,Women Literacy Levels,Water Coverage,perc poor persons,perc water coverage,perc men lit ,perc women lit
570.0863,129,Dormaa East,1759,17693,26901,705,23970,89.233858,50871,Brong Ahafo,45,1.127850413,3237,569,0,0.856595902,0.619597362,0.92926928,35,90,86,62
928.3569,189,Krachi West,4790,20083,24047,416,25370,53.230606,49417,Volta,79,1.439132721,2806,930,3.800969891,0.650034914,0.393584189,0.824143304,41,79,65,39
1194.9004,173,Krachi Nchumuru,3955,37855,36039,425,36649,60.831848,72688,Volta,117,2.102015218,3699,1197,0.873728356,0.499686899,0.302876186,0.807786255,52,78,50,30
315.6521,136,Agotime Ziope,1669,22324,17668,407,16788,109.158152,34456,Volta,63,0.566477902,2861,317,0,0.674153721,0.508899563,0.895410771,65,86,67,51
800.822,144,Adaklu,2681,24883,15438,421,14510,37.396575,29948,Volta,71,0.805194858,2076,803,2.40E-05,0.79418963,0.561861345,0.982564173,83,95,79,56
535.9864,,Akatsi South,2125,10257,51387,405,44039,178.038099,95426,Volta,33,0.578838041,2395,538,0.004232761,0.775550726,0.622435843,0.975816567,11,94,78,62
314.1498,173,Akatsi North,3578,7835,17909,420,15126,105.156839,33035,Volta,65,0.565655291,2470,315,0,0.704626105,0.590792132,0.905331772,24,87,70,59
573.7836,128,Ho Municipal,1344,37613,93462,408,83819,308.968399,177281,Volta,34,0.675754711,3081,575,7.71E-06,0.848828264,0.723733734,0.961480667,21,93,85,72
684.1711,172,Hohoe Municipal,1529,51976,87049,411,79967,244.114374,167016,Volta,39,0.68129408,2332,686,0,0.871900732,0.777634676,0.94946535,31,92,87,78
1002.7894,166,Ho West,3340,37054,49239,422,45361,94.336857,94600,Volta,77,1.088146857,2518,1005,1.32E-05,0.84250135,0.723946817,0.891429196,39,86,84,72
