Cholera_Cases,District,Distance_From_Main_Road,ID,Region,Time_To_Access_UrbanCentre,Water_Scarcity,Distance_to_waterbody,percpoorpersons,percwatercoverage,perc_men_lit,perc_women_lit,District_C,flood_freq,DistCode,water_scarcity
NA,South Tongu,1228,401,Volta,42,0.77261757,2762,25,84,79,51,Sogakope,0 to 7 days of Flooding,401,Low
124,Jirapa,2952,1006,Upper West,59,2.316400635,3559,71,90,48,32,Jirapa,0 to 7 days of Flooding,1006,Severe
194,Jasikan,1294,413,Volta,53,0.669743245,2993,39,91,86,69,Jasikan,0 to 7 days of Flooding,413,Low
180,Krachi East,9755,415,Volta,171,1.193972242,1955,50,55,41,23,Dambai,More than 1 month of Flooding,415,Moderate
182,Nkwanta South,4225,417,Volta,111,1.433518486,4180,31,88,49,40,Nkwanta,0 to 7 days of Flooding,417,Moderate
232,Afigya Kwabre,773,619,Ashanti,24,0.82410997,2884,4,84,85,74,Kodie,0 to 7 days of Flooding,619,Low
198,Atwima Kwanwoma,853,613,Ashanti,16,0.821193635,4496,5,93,88,77,Foase,0 to 7 days of Flooding,613,Low
236,Afigya Sekyere,910,621,Ashanti,47,0.769209605,4158,25,75,83,70,Agona,0 to 7 days of Flooding,621,Low
181,Sekyere East,1419,623,Ashanti,46,0.624365032,4540,17,80,79,62,Effiduase,0 to 7 days of Flooding,623,Low
236,Sekyere Central,4242,625,Ashanti,133,0.893131355,2831,23,85,80,70,Nsuta,0 to 7 days of Flooding,625,Low
218,Offinso North,3866,627,Ashanti,78,1.133131855,3823,29,81,79,63,Akumadan,0 to 7 days of Flooding,627,Moderate
239,Offinso Municipal,1508,618,Ashanti,46,0.849730336,3076,40,76,84,75,Offinso,0 to 7 days of Flooding,618,Low
144,Obuasi Municipal,1068,605,Ashanti,9,0.572480142,3419,5,95,89,78,Obuasi,0 to 7 days of Flooding,605,Low
206,Kwabre,185,620,Ashanti,10,0.799132568,6906,6,95,91,84,Mamponteng,0 to 7 days of Flooding,620,Low
207,Ejura Sekye Dumase,4080,626,Ashanti,98,1.130696056,2788,46,87,81,70,Ejura,0 to 7 days of Flooding,626,Moderate
219,Atwima Nwabiagya,1085,615,Ashanti,23,0.821193635,3544,13,93,88,79,Nkawie,0 to 7 days of Flooding,615,Low
217,Atwima Mponua,2098,601,Ashanti,99,0.795762351,3294,13,79,76,45,Nyinahin,0 to 7 days of Flooding,601,Low
167,Adansi South,1879,604,Ashanti,73,0.569100561,2944,21,84,76,55,New Edubiase,0 to 7 days of Flooding,604,Low
164,Adansi North,1467,606,Ashanti,54,0.569578616,2588,18,86,80,54,Fomena,0 to 7 days of Flooding,606,Low
185,Bosome Freho,1607,608,Ashanti,82,0.565400958,2616,37,76,79,56,Asiwa,0 to 7 days of Flooding,608,Low
196,Ahafo Ano South,1753,616,Ashanti,76,0.822126029,4281,14,70,78,60,Mankranso,0 to 7 days of Flooding,616,Low
181,Bekwai Municipal,1187,607,Ashanti,27,0.729471906,5075,29,88,82,59,Bekwai,0 to 7 days of Flooding,607,Low
86,Lambussie Karni,2865,1008,Upper West,96,2.269459287,4530,72,90,43,28,Lambussie,0 to 7 days of Flooding,1008,Severe
193,Bosomtwe /Atwima / Kwanwoma,899,612,Ashanti,23,0.754407245,3704,6,87,86,73,Kuntanase,1 to 2 weeks of Flooding,612,Low
239,Mampong Municipal,2291,622,Ashanti,95,0.885284759,2679,29,87,82,75,Mampong,0 to 7 days of Flooding,622,Low
161,Ajumako-Enyan-Esiam,844,205,Central,33,1.608722799,3736,12,89,74,62,Ajumako,0 to 7 days of Flooding,205,Significant
169,Gomoa West,637,206,Central,25,0.452637756,4317,22,93,75,64,Apam,0 to 7 days of Flooding,206,Low
178,Agona West,1073,211,Central,34,0.56762594,3676,4,88,76,69,Swedru,0 to 7 days of Flooding,211,Low
225,Agona East,767,210,Central,24,0.56762594,3703,25,89,76,70,Nsaba,0 to 7 days of Flooding,210,Low
187,Assin North,2810,214,Central,52,0.564617465,3320,24,90,72,58,Assin Fosu,0 to 7 days of Flooding,214,Low
205,Assin South,3903,213,Central,68,1.296394889,4295,23,84,71,64,Nsuaem Kyekyewere,0 to 7 days of Flooding,213,Moderate
158,Asikuma / Odoben / Brakwa,2185,212,Central,62,0.566637084,3607,24,83,73,63,Breman Asikuma,0 to 7 days of Flooding,212,Low
222,Effutu,539,207,Central,9,0,3212,11,95,84,78,Winneba,0 to 7 days of Flooding,207,Low
234,Bolgatanga Municipal,3200,904,Upper East,24,2.255518913,1855,28,96,76,63,Bolgatanga,0 to 7 days of Flooding,904,Severe
222,Gomoa East,1163,208,Central,16,1.062872976,4071,14,94,80,71,Afransie,0 to 7 days of Flooding,208,Moderate
191,Abura / Asebu / Kwamankese,1131,203,Central,27,1.696302772,3275,26,91,72,72,Abora Dunkwa,0 to 7 days of Flooding,203,Significant
255,Jomoro,4814,101,Western,145,0.555817466,3074,30,81,69,43,Half Assini,0 to 7 days of Flooding,101,Low
255,Ellembelle,4790,102,Western,175,0.666230598,2791,19,85,76,44,Nkroful,0 to 7 days of Flooding,102,Low
198,Prestea / Huni Valley,2537,109,Western,151,0.563707444,3433,17,89,84,76,Prestea,0 to 7 days of Flooding,109,Low
255,Ahanta West,1018,104,Western,35,0,2646,19,92,77,59,Agona,0 to 7 days of Flooding,104,Low
203,Nzema East,3418,103,Western,184,0.665772817,3403,31,89,74,49,Axim,0 to 7 days of Flooding,103,Low
223,Tarkwa Nsuaem,2339,108,Western,92,0.602936973,4047,14,95,88,78,Tarkwa,0 to 7 days of Flooding,108,Low
162,Sefwi Akontombra,2626,113,Western,195,0.564824275,4594,21,83,78,60,Akontombra,0 to 7 days of Flooding,113,Low
NA,Sekondi Takoradi,785,105,Western,10,0.833321379,2990,12,95,90,82,Sekondi,0 to 7 days of Flooding,105,Low
250,Bongo,4139,906,Upper East,40,2.255518913,2520,67,92,54,43,Bongo,0 to 7 days of Flooding,906,Severe
232,Akyem Mansa,1816,515,Eastern,62,0.565407089,3393,38,86,76,58,Akim Ofoase,0 to 7 days of Flooding,515,Low
240,Kwahu South,1974,519,Eastern,69,0.571163835,2590,47,76,76,73,Atibie,1 to 2 weeks of Flooding,519,Low
245,Birim Municipal,1483,502,Eastern,28,0.567431966,3387,22,91,78,74,Akim Oda,0 to 7 days of Flooding,502,Low
243,Upper Manya,3704,511,Eastern,80,0.565727275,2611,43,81,77,61,Asesewa,2 weeks to 1 month of Flooding,511,Low
